,p,x,y
187,4.186880827650655e-21,-0.01,0.0087
188,4.188219545966214e-21,-0.01,0.0088
189,4.1895737466357606e-21,-0.01,0.0089
190,4.190943464013323e-21,-0.01,0.009
191,4.1923286487229414e-21,-0.01,0.0091
192,4.193729335257629e-21,-0.01,0.0092
193,4.1951455162768406e-21,-0.01,0.0093
194,4.196577226430985e-21,-0.01,0.0094
195,4.19802443056816e-21,-0.01,0.0095
196,4.199487149503217e-21,-0.01,0.0096
197,4.200965432095953e-21,-0.01,0.0097
198,4.202459201441138e-21,-0.01,0.0098
199,4.203968548495306e-21,-0.01,0.0099
200,1.2971002443058072e-20,-0.0099,-0.01
201,1.2968304202229472e-20,-0.0099,-0.0099
202,1.296563313422318e-20,-0.0099,-0.0098
203,1.2962989386250304e-20,-0.0099,-0.0097
204,1.2960372901896815e-20,-0.0099,-0.0096
205,1.2957783675723206e-20,-0.0099,-0.0095
206,1.2955221727795354e-20,-0.0099,-0.0094
207,1.295268700187994e-20,-0.0099,-0.0093
208,1.2950179543601232e-20,-0.0099,-0.0092
209,1.2947699322288041e-20,-0.0099,-0.0091
210,1.2945246332774734e-20,-0.0099,-0.009
211,1.2942820595392497e-20,-0.0099,-0.0089
212,1.294042207964027e-20,-0.0099,-0.0088
213,1.2938050831394387e-20,-0.0099,-0.0087
214,1.293570676938867e-20,-0.0099,-0.0086
215,1.2933389888737609e-20,-0.0099,-0.0085
216,1.2931100286345119e-20,-0.0099,-0.0084
217,1.2928837881120593e-20,-0.0099,-0.0083
218,1.2926602668339263e-20,-0.0099,-0.0082
219,1.2924394668760445e-20,-0.0099,-0.0081
220,1.2922213877765335e-20,-0.0099,-0.008
221,1.2920060239939102e-20,-0.0099,-0.0079
222,1.291793382705575e-20,-0.0099,-0.0078
223,1.2915834609235702e-20,-0.0099,-0.0077
224,1.2913762556661024e-20,-0.0099,-0.0076
225,1.2911717690414907e-20,-0.0099,-0.0075
226,1.2909700006211968e-20,-0.0099,-0.0074
227,1.2907709474405641e-20,-0.0099,-0.0073
228,1.2905746116241814e-20,-0.0099,-0.0072
229,1.2903809927602422e-20,-0.0099,-0.0071
230,1.290190092983808e-20,-0.0099,-0.007
231,1.2900019042703953e-20,-0.0099,-0.0069
232,1.2898164338488136e-20,-0.0099,-0.0068
233,1.2896336762474527e-20,-0.0099,-0.0067
234,1.2894536361643727e-20,-0.0099,-0.0066
235,1.2892763106803192e-20,-0.0099,-0.0065
236,1.2891016943416471e-20,-0.0099,-0.0064
237,1.2889297969436185e-20,-0.0099,-0.0063
238,1.2887606105032985e-20,-0.0099,-0.0062
239,1.288594142285703e-20,-0.0099,-0.0061
240,1.288430379239811e-20,-0.0099,-0.006
241,1.2882693362616173e-20,-0.0099,-0.0059
242,1.2881110028519768e-20,-0.0099,-0.0058
243,1.2879553786779518e-20,-0.0099,-0.0057
244,1.2878024710309743e-20,-0.0099,-0.0056
245,1.287652271969966e-20,-0.0099,-0.0055
246,1.2875047837182555e-20,-0.0099,-0.0054
247,1.2873600034258568e-20,-0.0099,-0.0053
248,1.2872179409446624e-20,-0.0099,-0.0052
249,1.2870785832790187e-20,-0.0099,-0.0051
250,1.2869419377526574e-20,-0.0099,-0.005
251,1.2868080040771774e-20,-0.0099,-0.0049
252,1.2866767768922868e-20,-0.0099,-0.0048
253,1.2865482584601638e-20,-0.0099,-0.0047
254,1.286422451048278e-20,-0.0099,-0.0046
255,1.2862993569294126e-20,-0.0099,-0.0045
256,1.2861789656895707e-20,-0.0099,-0.0044
257,1.2860612846901682e-20,-0.0099,-0.0043
258,1.2859463111442587e-20,-0.0099,-0.0042
259,1.2858340473472556e-20,-0.0099,-0.0041
260,1.2857244905237399e-20,-0.0099,-0.004
261,1.2856176404423132e-20,-0.0099,-0.0039
262,1.2855134994152043e-20,-0.0099,-0.0038
263,1.2854120697600424e-20,-0.0099,-0.0037
264,1.2853133385730327e-20,-0.0099,-0.0036
265,1.2852173183348373e-20,-0.0099,-0.0035
266,1.2851240088420876e-20,-0.0099,-0.0034
267,1.285033402284315e-20,-0.0099,-0.0033
268,1.2849454984701487e-20,-0.0099,-0.0032
269,1.2848603048263481e-20,-0.0099,-0.0031
270,1.2847778160975372e-20,-0.0099,-0.003
271,1.2846980371839813e-20,-0.0099,-0.0029
272,1.2846209603046528e-20,-0.0099,-0.0028
273,1.2845465903711748e-20,-0.0099,-0.0027
274,1.284474927226042e-20,-0.0099,-0.0026
275,1.2844059681803066e-20,-0.0099,-0.0025
276,1.284339713088041e-20,-0.0099,-0.0024
277,1.2842761643460895e-20,-0.0099,-0.0023
278,1.284215319282789e-20,-0.0099,-0.0022
279,1.2841571803063254e-20,-0.0099,-0.0021
280,1.284101747293497e-20,-0.0099,-0.002
281,1.2840490175899268e-20,-0.0099,-0.0019
282,1.2839989936208375e-20,-0.0099,-0.0018
283,1.283951672743369e-20,-0.0099,-0.0017
284,1.2839070599309154e-20,-0.0099,-0.0016
285,1.2838651474784987e-20,-0.0099,-0.0015
286,1.2838259378341887e-20,-0.0099,-0.0014
287,1.2837894385250877e-20,-0.0099,-0.0013
288,1.2837556367901937e-20,-0.0099,-0.0012
289,1.283724542704731e-20,-0.0099,-0.0011
290,1.2836961511294034e-20,-0.0099,-0.001
291,1.2836704670773287e-20,-0.0099,-0.0009
292,1.2836474854207574e-20,-0.0099,-0.0008
293,1.2836272086476023e-20,-0.0099,-0.0007
294,1.283609631641688e-20,-0.0099,-0.0006
295,1.2835947619755427e-20,-0.0099,-0.0005
296,1.2835825945444622e-20,-0.0099,-0.0004
297,1.2835731318592286e-20,-0.0099,-0.0003
298,1.2835663713632164e-20,-0.0099,-0.0002
299,1.2835623155786537e-20,-0.0099,-0.0001
300,1.2835609670334906e-20,-0.0099,0.0
301,1.2835623155786537e-20,-0.0099,0.0001
302,1.2835663713632164e-20,-0.0099,0.0002
303,1.2835731318592286e-20,-0.0099,0.0003
304,1.2835825945444622e-20,-0.0099,0.0004
305,1.2835947619755427e-20,-0.0099,0.0005
306,1.283609631641688e-20,-0.0099,0.0006
307,1.2836272086476023e-20,-0.0099,0.0007
308,1.2836474854207574e-20,-0.0099,0.0008
309,1.2836704670773287e-20,-0.0099,0.0009
310,1.2836961511294034e-20,-0.0099,0.001
311,1.283724542704731e-20,-0.0099,0.0011
312,1.2837556367901937e-20,-0.0099,0.0012
313,1.2837894385250877e-20,-0.0099,0.0013
314,1.2838259378341887e-20,-0.0099,0.0014
315,1.2838651474784987e-20,-0.0099,0.0015
316,1.2839070599309154e-20,-0.0099,0.0016
317,1.283951672743369e-20,-0.0099,0.0017
318,1.2839989936208375e-20,-0.0099,0.0018
319,1.2840490175899268e-20,-0.0099,0.0019
320,1.284101747293497e-20,-0.0099,0.002
321,1.2841571803063254e-20,-0.0099,0.0021
322,1.284215319282789e-20,-0.0099,0.0022
323,1.2842761643460895e-20,-0.0099,0.0023
324,1.284339713088041e-20,-0.0099,0.0024
325,1.2844059681803066e-20,-0.0099,0.0025
326,1.284474927226042e-20,-0.0099,0.0026
327,1.2845465903711748e-20,-0.0099,0.0027
328,1.2846209603046528e-20,-0.0099,0.0028
329,1.2846980371839813e-20,-0.0099,0.0029
330,1.2847778160975372e-20,-0.0099,0.003
331,1.2848603048263481e-20,-0.0099,0.0031
332,1.2849454984701487e-20,-0.0099,0.0032
333,1.285033402284315e-20,-0.0099,0.0033
334,1.2851240088420876e-20,-0.0099,0.0034
335,1.2852173183348373e-20,-0.0099,0.0035
336,1.2853133385730327e-20,-0.0099,0.0036
337,1.2854120697600424e-20,-0.0099,0.0037
338,1.2855134994152043e-20,-0.0099,0.0038
339,1.2856176404423132e-20,-0.0099,0.0039
340,1.2857244905237399e-20,-0.0099,0.004
341,1.2858340473472556e-20,-0.0099,0.0041
342,1.2859463111442587e-20,-0.0099,0.0042
343,1.2860612846901682e-20,-0.0099,0.0043
344,1.2861789656895707e-20,-0.0099,0.0044
345,1.2862993569294126e-20,-0.0099,0.0045
346,1.286422451048278e-20,-0.0099,0.0046
347,1.2865482584601638e-20,-0.0099,0.0047
348,1.2866767768922868e-20,-0.0099,0.0048
349,1.2868080040771774e-20,-0.0099,0.0049
350,1.2869419377526574e-20,-0.0099,0.005
351,1.2870785832790187e-20,-0.0099,0.0051
352,1.2872179409446624e-20,-0.0099,0.0052
353,1.2873600034258568e-20,-0.0099,0.0053
354,1.2875047837182555e-20,-0.0099,0.0054
355,1.287652271969966e-20,-0.0099,0.0055
356,1.2878024710309743e-20,-0.0099,0.0056
357,1.2879553786779518e-20,-0.0099,0.0057
358,1.2881110028519768e-20,-0.0099,0.0058
359,1.2882693362616173e-20,-0.0099,0.0059
360,1.288430379239811e-20,-0.0099,0.006
361,1.288594142285703e-20,-0.0099,0.0061
362,1.2887606105032985e-20,-0.0099,0.0062
363,1.2889297969436185e-20,-0.0099,0.0063
364,1.2891016943416471e-20,-0.0099,0.0064
365,1.2892763106803192e-20,-0.0099,0.0065
366,1.2894536361643727e-20,-0.0099,0.0066
367,1.2896336762474527e-20,-0.0099,0.0067
368,1.2898164338488136e-20,-0.0099,0.0068
369,1.2900019042703953e-20,-0.0099,0.0069
370,1.290190092983808e-20,-0.0099,0.007
371,1.2903809927602422e-20,-0.0099,0.0071
372,1.2905746116241814e-20,-0.0099,0.0072
373,1.2907709474405641e-20,-0.0099,0.0073
374,1.2909700006211968e-20,-0.0099,0.0074
375,1.2911717690414907e-20,-0.0099,0.0075
376,1.2913762556661024e-20,-0.0099,0.0076
377,1.2915834609235702e-20,-0.0099,0.0077
378,1.291793382705575e-20,-0.0099,0.0078
379,1.2920060239939102e-20,-0.0099,0.0079
380,1.2922213877765335e-20,-0.0099,0.008
381,1.2924394668760445e-20,-0.0099,0.0081
382,1.2926602668339263e-20,-0.0099,0.0082
383,1.2928837881120593e-20,-0.0099,0.0083
384,1.2931100286345119e-20,-0.0099,0.0084
385,1.2933389888737609e-20,-0.0099,0.0085
386,1.293570676938867e-20,-0.0099,0.0086
387,1.2938050831394387e-20,-0.0099,0.0087
388,1.294042207964027e-20,-0.0099,0.0088
389,1.2942820595392497e-20,-0.0099,0.0089
390,1.2945246332774734e-20,-0.0099,0.009
391,1.2947699322288041e-20,-0.0099,0.0091
392,1.2950179543601232e-20,-0.0099,0.0092
393,1.295268700187994e-20,-0.0099,0.0093
394,1.2955221727795354e-20,-0.0099,0.0094
395,1.2957783675723206e-20,-0.0099,0.0095
396,1.2960372901896815e-20,-0.0099,0.0096
397,1.2962989386250304e-20,-0.0099,0.0097
398,1.296563313422318e-20,-0.0099,0.0098
399,1.2968304202229472e-20,-0.0099,0.0099
400,2.845525883931037e-20,-0.0098,-0.01
